id_estudiante,edad,sexo,semestre,estrato,trabaja,horas_trabajo_semana,beca,acceso_internet,promedio_acumulado,asistencia,horas_estudio_semana,talleres_entregados,proyectos_entregados,horas_programacion,participacion_clase,horas_sueno,uso_redes_sociales,nivel_estres,uso_herramientas_IA,aprueba_asignatura
1,22,Masculino,8,1,No,0,Sí,Sí,3.97,91.6,17.1,100.0,100.0,11.8,6.9,6.6,1.3,3,6.3,Sí
2,35,Masculino,4,1,No,0,No,Sí,4.22,87.9,11.1,89.1,100.0,8.4,8.4,7.9,5.5,1,1.7,Sí
3,30,Masculino,2,3,No,0,No,Sí,3.69,86.1,8.0,86.3,83.5,3.6,8.6,6.4,3.9,4,5.0,Sí
4,26,Masculino,6,3,Sí,24,Sí,Sí,4.33,97.6,18.8,99.0,94.3,13.7,8.5,7.6,2.0,3,7.0,Sí
5,23,Masculino,9,1,Sí,27,Sí,Sí,3.32,70.8,12.7,74.4,57.4,7.2,7.5,4.8,2.3,6,6.7,No
6,22,Masculino,1,3,Sí,37,No,Sí,3.19,70.1,4.2,58.9,55.9,2.0,9.1,7.4,4.4,7,9.9,No
7,34,Masculino,10,1,Sí,32,Sí,Sí,4.23,85.1,11.5,87.6,72.8,7.0,7.4,9.3,5.7,4,6.8,Sí
8,26,Masculino,7,4,No,0,Sí,Sí,3.11,83.7,2.4,85.9,82.3,1.3,9.9,5.7,3.2,8,2.3,Sí
9,26,Masculino,10,3,No,0,No,Sí,3.7,71.8,10.5,73.5,86.6,4.6,7.8,8.5,2.6,3,1.8,Sí
10,19,Masculino,9,1,No,0,No,Sí,4.37,92.2,9.5,93.5,80.5,7.2,7.6,7.6,1.3,4,5.1,Sí
11,23,Femenino,10,3,No,0,No,Sí,3.78,50.3,16.5,51.1,48.6,12.9,4.6,7.8,2.6,2,5.3,No
12,18,Masculino,9,3,Sí,16,No,Sí,3.42,71.8,7.6,55.0,63.6,6.0,7.6,7.6,1.7,4,3.9,No
13,17,Femenino,10,6,No,0,No,Sí,2.82,41.6,10.0,35.8,28.1,5.3,6.1,6.0,1.7,4,6.5,No
14,27,Femenino,3,3,Sí,47,No,Sí,3.3,80.3,7.1,87.1,91.2,2.9,9.0,5.2,5.6,8,0.0,No
15,21,Masculino,5,2,Sí,20,Sí,Sí,3.9,75.9,5.8,84.6,92.7,4.6,6.8,7.4,2.8,3,4.1,Sí
16,17,Masculino,8,4,No,0,No,Sí,3.04,53.8,9.6,50.4,51.2,4.8,5.9,6.7,3.2,4,0.4,No
17,16,Masculino,8,2,Sí,40,Sí,Sí,3.55,98.1,5.7,90.5,91.5,4.2,6.5,5.1,3.7,6,3.5,Sí
18,27,Masculino,4,5,Sí,34,No,Sí,3.25,76.6,5.2,82.3,71.3,4.1,8.8,6.3,2.7,8,4.3,Sí
19,27,Femenino,1,3,Sí,33,No,Sí,2.46,64.4,4.4,66.6,62.6,3.3,5.6,5.5,3.1,9,7.1,No
20,32,Masculino,1,3,No,0,No,No,4.41,64.2,25.2,63.2,64.8,13.5,5.2,9.1,3.0,2,2.6,Sí
21,25,Masculino,4,1,No,0,No,Sí,3.66,96.9,12.1,100.0,81.0,10.5,9.4,7.8,2.4,4,4.7,Sí
22,31,Masculino,6,3,Sí,31,No,Sí,3.66,65.2,20.8,55.8,33.3,14.5,5.1,5.6,3.4,7,4.0,No
23,30,Masculino,8,4,No,0,No,Sí,4.44,64.5,33.0,73.7,72.2,21.3,6.3,7.4,2.9,3,4.8,Sí
24,30,Femenino,6,4,Sí,42,No,Sí,2.35,74.4,2.4,62.4,66.2,1.7,8.8,5.4,3.1,2,4.2,No
25,34,Masculino,9,2,Sí,17,No,Sí,3.76,77.3,35.0,70.7,71.6,11.4,5.4,4.6,3.0,5,4.5,Sí
26,27,Masculino,9,2,No,0,No,Sí,2.67,73.5,11.1,65.2,49.0,5.9,7.3,6.0,8.0,5,3.7,No
27,35,Masculino,2,4,No,0,No,Sí,2.87,65.8,6.6,61.1,72.2,5.5,6.4,6.6,4.9,4,5.7,No
28,18,Femenino,10,5,No,0,No,Sí,3.81,95.3,5.1,97.7,98.8,2.0,10.0,7.3,4.4,2,7.2,Sí
29,20,Masculino,1,2,Sí,32,No,Sí,4.32,77.3,19.3,82.7,92.4,10.6,7.6,7.8,3.8,7,5.1,Sí
30,34,Masculino,2,3,No,0,Sí,Sí,3.5,75.7,11.7,75.0,68.6,6.4,8.8,6.4,3.7,7,9.0,Sí
31,22,Femenino,5,3,No,0,No,Sí,3.94,85.6,17.6,75.4,78.0,9.1,10.0,7.6,2.6,6,5.2,Sí
32,24,Masculino,4,5,No,0,No,Sí,2.83,50.4,8.1,34.4,39.6,5.2,6.3,4.9,5.3,3,6.6,No
33,22,Femenino,4,2,Sí,25,No,Sí,4.04,75.6,10.1,82.4,92.4,9.0,6.7,8.6,3.5,2,3.5,Sí
34,33,Femenino,9,2,No,0,No,Sí,3.3,74.5,4.6,80.3,89.5,2.1,9.8,4.9,4.0,5,4.8,Sí
35,19,Femenino,8,4,No,0,No,Sí,3.82,95.1,6.3,100.0,92.0,4.6,8.2,6.2,2.6,6,4.4,Sí
36,29,Femenino,6,1,Sí,31,Sí,Sí,3.69,65.3,19.6,64.2,63.1,14.8,7.5,6.0,1.9,3,2.6,Sí
37,33,Femenino,1,3,No,0,Sí,Sí,2.85,87.5,3.8,92.9,87.6,2.5,10.0,5.1,5.3,2,3.5,Sí
38,24,Femenino,2,3,Sí,47,No,Sí,4.49,96.4,16.7,91.3,92.7,6.0,10.0,7.2,3.2,4,5.7,Sí
39,17,Femenino,6,3,No,0,Sí,Sí,4.07,76.9,16.6,80.8,66.4,10.7,9.0,8.8,2.4,5,7.6,Sí
40,35,Femenino,2,3,No,0,No,Sí,3.24,86.4,9.5,82.6,66.7,8.3,7.8,4.6,3.6,2,6.1,Sí
41,30,Masculino,10,3,No,0,No,Sí,3.32,94.0,19.3,87.5,100.0,9.7,10.0,4.0,2.9,3,5.7,Sí
42,22,Masculino,5,2,No,0,No,Sí,2.52,52.0,13.9,53.8,73.2,9.5,5.1,5.8,6.5,7,3.3,No
43,27,Masculino,5,3,No,0,No,Sí,3.76,84.0,6.2,85.5,97.1,5.4,9.8,6.5,2.5,1,6.0,Sí
44,23,Masculino,6,4,Sí,19,Sí,Sí,3.8,94.5,7.7,100.0,100.0,6.0,9.8,7.7,3.8,4,3.7,Sí
