Valor_Transaccion,Hora_Del_Dia,Numero_Transacciones_Diarias,Distancia_Geografica,Fraude
3543824.17,14,8,14.7,NO
2413518.27,11,2,197.76,NO
1896158.07,15,12,303.09,NO
3528370.98,12,13,298.86,NO
1251133.53,14,7,396.48,NO
1657960.12,10,10,327.5,NO
2177914.7,14,13,496.07,SI
1275874.05,15,17,141.93,SI
2031958.41,12,14,179.58,NO
2861650.4,11,2,191.92,NO
3707459.57,15,11,232.91,NO
3838302.32,15,1,418.0,SI
4115723.86,10,19,117.9,SI
3723616.17,13,4,388.0,NO
3408386.74,12,19,202.66,SI
1195157.29,9,11,300.93,NO
2007112.24,15,8,316.27,NO
2393797.31,13,11,186.42,NO
423627.7,9,4,256.31,NO
2646566.91,12,17,206.52,SI
2187315.8,8,7,34.57,NO
4012525.15,13,8,218.58,SI
4889724.34,16,3,48.7,SI
2784465.14,8,2,202.51,NO
1620205.08,10,15,296.46,NO
226569.91,14,5,289.71,NO
4623970.22,11,1,331.31,SI
4596387.42,16,4,47.63,SI
1272420.94,10,15,326.06,NO
3480101.5,12,20,156.07,SI
386418.39,10,19,199.52,SI
839415.01,14,3,428.99,SI
1091877.44,12,20,4.52,SI
1479524.79,16,11,294.21,NO
4979198.56,14,17,299.36,SI
3487656.03,9,13,198.33,NO
1927167.14,11,11,118.51,NO
3688132.52,16,2,117.34,NO
4577119.16,9,9,441.85,SI
4793925.01,16,2,221.01,SI
298740.85,12,9,165.44,NO
1978663.78,9,9,224.39,NO
542712.77,11,8,334.7,NO
1684943.72,14,17,72.88,SI
856702.72,15,1,224.72,NO
3237773.32,10,11,293.94,NO
1947459.24,8,8,474.29,SI
1154679.78,11,10,126.26,NO
1337030.25,9,7,179.63,NO
1808122.03,15,3,189.68,NO
1307149.82,11,3,302.77,NO
2271671.83,9,18,178.37,SI
171256.6,13,5,266.76,NO
1406019.9,13,12,390.9,NO
2061921.54,11,12,352.69,NO
3017881.59,13,19,223.18,SI
1362078.64,9,6,432.11,SI
674593.77,9,2,279.07,NO
390239.89,11,12,269.95,NO
4703253.82,15,19,17.09,SI
2089028.9,14,5,493.35,SI
2910001.48,16,12,61.49,NO
4596690.99,15,17,115.57,SI
422914.62,12,17,25.85,SI
4384540.81,9,10,320.0,SI
2762423.48,12,17,112.35,SI
832522.96,15,15,90.01,NO
2062163.03,16,12,44.28,NO
3890235.4,16,16,51.65,SI
2407046.71,8,19,292.34,SI
4926577.39,16,8,344.1,SI
1889927.46,14,17,198.69,SI
3750395.72,16,5,239.95,NO
1971017.35,15,16,342.98,SI
4147529.46,8,6,8.69,SI
2849716.53,15,8,161.57,NO
326924.03,15,18,486.55,SI
193741.12,10,12,290.06,NO
677922.07,8,15,127.11,NO
78223.1,15,9,260.87,NO
386041.71,10,13,171.33,NO
3461654.84,10,15,266.12,NO
2676387.91,8,10,62.87,NO
3752054.64,12,16,66.36,SI
4566697.1,14,7,71.77,SI
2929896.17,16,17,469.91,SI
3633343.01,14,7,366.45,NO
3787835.2,16,14,81.19,NO
1895474.24,15,15,94.17,NO
1213013.31,9,7,365.41,NO
1033176.19,8,9,78.08,NO
1264697.77,14,19,117.28,SI
1380911.67,14,16,481.67,SI
1044065.97,15,8,127.65,NO
4392321.13,12,18,330.82,SI
3787425.67,10,18,489.32,SI
244013.37,15,20,187.15,SI
1350675.69,13,7,8.76,NO
120701.86,10,3,122.07,NO
2495844.28,8,18,415.44,SI
2386291.38,10,10,432.3,SI
4158543.74,12,7,384.26,SI
1545808.43,10,17,56.55,SI
4083764.82,8,14,397.76,SI
4840189.09,12,3,459.34,SI
451157.03,14,12,300.3,NO
3961171.02,14,13,470.44,SI
2953879.93,16,2,413.42,SI
2405429.38,10,3,333.49,NO
2108473.54,14,5,288.59,NO
3925494.64,8,11,174.29,NO
3200413.17,11,8,79.64,NO
4027172.89,11,12,302.48,SI
4516723.78,12,7,159.06,SI
3090145.92,14,15,433.22,SI
4902509.0,14,17,496.67,SI
